CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
853817931,Attrited Customer,58,F,1,Post-Graduate,Divorced,Less than $40K,Blue,52,4,1,3,1557.963244773598,0,1505.0300725854338,0.4971233650805198,2290,46,0.4591221807998208,0.008945248995239111
335450920,Existing Customer,47,M,1,Unknown,Divorced,$80K - $120K,Silver,38,3,3,3,34129.446089378616,780,33912.84817185563,0.8873734638693945,1786,26,0.7832890809315768,0.012588938681209073
368642028,Existing Customer,42,F,4,Graduate,Single,Less than $40K,Blue,33,4,3,2,3080.7134730770695,1989,811.6090367102538,0.6640288240098996,4884,95,0.6806106841492263,0.6596281295951782
472432291,Existing Customer,47,M,4,Unknown,Single,$40K - $60K,Blue,36,3,3,3,5727.222750048333,1846,3997.3203063225565,0.9415778973342976,3877,88,0.658557845252798,0.3193889494962583
832803165,Existing Customer,48,M,4,High School,Married,$80K - $120K,Blue,36,6,3,4,19401.47344095266,556,18698.03141063255,0.8515387886319004,2634,66,0.5905550403169836,0.02492667144149582
182724347,Existing Customer,61,M,0,High School,Divorced,$60K - $80K,Blue,51,6,3,4,5868.574348491979,1963,3578.1903550039833,0.8326275563817724,3549,54,0.6165945665534154,0.3249413949779168
401394721,Existing Customer,50,F,2,College,Divorced,Less than $40K,Blue,36,3,3,0,1772.6257051159935,35,1452.1107014828895,0.8758122887367663,1045,34,0.8961458777406253,0.0
640090472,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,36,5,3,4,2997.0443698315803,51,3103.5442229278024,0.6827613838227073,5088,74,0.8475644276010164,0.019875249919605598
831870362,Existing Customer,36,F,3,Graduate,Single,Less than $40K,Blue,31,3,2,3,2763.5067668991105,2164,721.1642118534526,0.6649622080713299,2247,51,0.6939983193381115,0.7379482203260326
755704473,Existing Customer,51,F,2,Unknown,Married,Less than $40K,Blue,34,3,1,4,4478.748087880726,810,5066.673514834511,0.8380333809424351,3634,50,1.0731588871549518,0.15632466360668879
993572732,Existing Customer,56,F,4,Uneducated,Single,Unknown,Blue,46,6,2,2,7847.233821461296,2319,5411.645736487412,0.4061584328820579,3230,70,0.5510771135871588,0.2820538277695068
269110965,Existing Customer,46,F,5,High School,Unknown,Less than $40K,Blue,37,4,3,3,1982.1790138529468,706,466.3179401777996,0.7177215729326303,3930,79,0.8082927186476505,0.5046710296035885
892205163,Existing Customer,35,F,4,Uneducated,Married,Unknown,Blue,25,2,3,2,3495.963573487864,576,2712.304477346238,0.6720136418603688,5106,79,0.6959358753493378,0.17381150824005115
149631964,Existing Customer,32,F,1,High School,Married,Unknown,Blue,22,3,2,3,3312.42973991977,2496,847.3764590548755,0.9787965504404241,4387,70,0.9225205558654993,0.7386034025765924
602403305,Existing Customer,41,M,2,Graduate,Single,$40K - $60K,Silver,30,5,2,3,17421.892035889694,1119,16621.35498388367,1.0902332010420224,3459,80,0.7132245860233268,0.0629826263132256
347472430,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,36,4,2,4,28606.445532186284,0,28732.51746665091,0.7836848723529062,3377,56,0.9772996726359978,0.0
281216574,Existing Customer,49,F,3,Uneducated,Single,Less than $40K,Blue,36,4,2,4,4569.476830251381,2089,2411.9397504688613,0.8282152747050928,3409,61,1.0294763727322893,0.465726193331962
691689712,Existing Customer,45,F,2,College,Divorced,$40K - $60K,Blue,27,6,3,2,3123.7768321626645,2374,216.3812048489931,0.7177539732998637,3696,77,0.583381135698089,0.8201078775119731
606039095,Attrited Customer,49,F,0,Uneducated,Single,Less than $40K,Blue,44,3,3,3,1756.762418792421,0,2207.4410996278357,0.8945951202256329,2838,47,0.48908826571981623,0.0
334143838,Attrited Customer,60,M,1,Uneducated,Single,$40K - $60K,Silver,49,3,2,2,15075.74906178454,30,15564.478464634458,1.0002079724157034,3070,48,0.41195341672943736,0.0
235056036,Existing Customer,33,F,3,Unknown,Married,$40K - $60K,Blue,22,2,3,2,1179.734612673735,28,1347.220457939928,0.76908044259338,4479,85,0.6797225707229864,0.00035053773614416786
774260840,Existing Customer,43,M,4,Uneducated,Married,$60K - $80K,Blue,37,4,1,3,3502.804436652187,1943,1725.9352012612312,0.9129417038512849,3294,62,0.8528719000511354,0.5492705154224815
710840906,Attrited Customer,50,M,2,High School,Married,$120K +,Silver,37,5,2,2,34322.50116928606,391,33836.59845587982,0.7345951502214341,2283,40,0.5127924762875896,0.01864281982467345
702367567,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36,4,3,3,2182.2542562788212,1148,1209.0054752617775,0.9874910878201688,1546,25,1.60255023362229,0.48662824508607644
950720003,Attrited Customer,49,M,3,Graduate,Married,$80K - $120K,Blue,40,4,2,3,4750.777178672498,188,5067.6793697413,0.857226112830867,3062,53,0.7505930887793648,0.04305502749068275
480506205,Existing Customer,60,F,1,Graduate,Single,Less than $40K,Blue,45,2,3,1,9563.31964992634,1414,8758.042644519212,0.86500980109279,14337,107,0.9649881590065751,0.1481142519648169
297762890,Existing Customer,44,F,2,Graduate,Married,Less than $40K,Blue,36,5,1,3,4884.932901185716,39,4605.340324834907,0.5535857284755852,3848,56,0.7466340972847629,0.0017996558922485323
669865958,Existing Customer,64,M,1,Graduate,Single,Less than $40K,Blue,45,5,3,2,4284.604562824481,0,4354.991484903925,0.9001880421730258,4416,71,0.8971209693205763,0.0
941455964,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,21,2,3,3,3899.5771459618827,1624,2045.491252113358,0.8473512065621758,15511,121,0.7799145009691203,0.4526435088996431
881103003,Existing Customer,34,F,4,Graduate,Single,Less than $40K,Blue,28,3,2,3,1234.9157896035017,11,1511.4685612443946,0.7228309960467959,4751,85,0.7925303920156317,0.00637981523159162
714758339,Existing Customer,26,M,0,Uneducated,Single,Less than $40K,Blue,36,4,3,4,2527.391701338864,1543,1052.3758826575263,0.5807507264154448,2384,63,0.4676407330600285,0.5735047774160509
442154178,Attrited Customer,50,F,3,High School,Married,Less than $40K,Blue,36,2,3,3,1559.292958200399,0,1834.22281858825,0.7418975713799089,2403,40,0.5799107388005,0.0
452462349,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2766.750479552951,1669,864.255062935925,1.3261511475789842,1588,25,1.609430621950917,0.6864326946911321
