CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
177084250,Existing Customer,45,F,4,Graduate,Unknown,Unknown,Blue,37,4,1,3,3045.7982584677766,660,2413.1839423013994,0.5820505104397096,3354,80,0.7485347024959497,0.21352887920871758
261496660,Existing Customer,52,F,1,College,Divorced,Less than $40K,Blue,41,3,2,3,3492.035831317789,1814,2397.941141755803,0.6801653093569082,2211,52,1.1357865039492998,0.42004120984063936
313129455,Attrited Customer,53,M,4,Graduate,Married,$120K +,Blue,38,5,2,3,33187.13189478955,0,34213.06720725563,0.8566601132227205,7938,68,0.7243534728113994,0.011841712403162499
263228308,Existing Customer,54,F,3,Uneducated,Married,Less than $40K,Blue,47,1,3,2,4067.428063456719,1622,1410.2916502690503,0.7674424539996282,15052,114,0.9326027679209364,0.44626807665124
821147017,Existing Customer,55,F,1,High School,Unknown,Unknown,Blue,36,3,2,3,5126.214637744449,1504,5238.621838958234,0.9482869675139494,4046,67,1.0356083678860537,0.19321262372893533
623945831,Existing Customer,40,M,1,College,Unknown,$40K - $60K,Blue,31,1,1,3,4563.1135025202875,2375,2265.148570595787,0.845660834929692,7936,96,0.7539456241238014,0.4725300677872865
135459181,Existing Customer,42,M,5,Unknown,Married,$60K - $80K,Blue,35,6,3,2,12998.980433520148,1255,12101.324212912947,0.7474224567176694,1653,52,0.7041221825736821,0.07713348168540417
184715777,Existing Customer,44,F,3,Uneducated,Single,Less than $40K,Blue,37,6,1,2,1387.0779367833431,85,3064.830478508382,0.7947294784693082,4843,79,0.5567384879230671,0.022534080833763404
398981387,Existing Customer,61,M,1,Graduate,Married,$40K - $60K,Blue,50,6,3,4,2692.254871951839,2434,19.201428891224197,0.9630472828332273,1523,32,0.5932507151320917,0.9643777169651282
489814245,Existing Customer,48,M,1,Unknown,Single,$60K - $80K,Blue,38,3,3,4,10045.929869202759,2111,8852.18197562986,0.6365015200355151,4405,60,0.5420141225834845,0.13896941481995312
659105067,Existing Customer,47,M,5,Unknown,Unknown,$60K - $80K,Blue,37,4,2,2,4309.030333417466,1931,2397.2811919761334,0.6180682631598626,3475,60,0.7226128407831754,0.4624706646170867
531146167,Existing Customer,33,M,2,Graduate,Married,$40K - $60K,Blue,20,4,4,3,4618.731926106802,1833,3337.4405574081893,0.8798778556143805,1443,43,0.7683000152540749,0.29291589482817965
243765022,Existing Customer,62,M,0,Graduate,Divorced,$40K - $60K,Blue,36,6,3,3,3485.5997568496387,0,4594.48769041565,0.574750813538576,4304,73,0.6625050278064256,0.0
761119435,Existing Customer,47,F,4,Doctorate,Married,Less than $40K,Blue,28,3,2,4,2469.0155842395848,17,5113.556103562131,1.0929239561852455,2739,61,0.7677620721759066,0.0
129419380,Existing Customer,40,M,2,Unknown,Married,$60K - $80K,Blue,34,6,3,0,2752.809030393255,1686,1444.0047266122035,1.1892286141477089,3894,72,0.9469474114748685,0.495766475210926
202304817,Existing Customer,31,M,1,Post-Graduate,Married,$60K - $80K,Blue,22,5,1,3,2190.513885252963,1614,306.3319881756993,0.7300935427847111,1636,35,0.6611343557839381,0.5847135933137707
506913992,Existing Customer,57,M,2,High School,Married,$80K - $120K,Blue,45,3,3,3,5319.505556426305,1562,4421.8974392434275,0.5107063311492601,1395,28,0.2539865446341999,0.23308992666747474
452105370,Attrited Customer,62,M,1,High School,Single,$60K - $80K,Blue,45,2,3,3,7504.35712541023,2486,5114.493687765956,1.0657677444783424,5465,73,0.7076742294758289,0.34031792065205546
565066163,Existing Customer,46,M,5,Graduate,Married,$40K - $60K,Silver,39,3,1,6,13960.421286511448,2114,14003.077728374525,0.8059176242026268,3332,67,0.759249035028459,0.1818241162227712
478102692,Existing Customer,45,F,2,College,Married,$40K - $60K,Blue,34,2,1,3,541.3704976138429,674,1393.7056802266284,0.5677332330169408,4937,81,0.8369083349828628,0.4428029308189081
487565217,Attrited Customer,38,F,0,Graduate,Married,Less than $40K,Blue,37,3,3,4,1784.6219099552277,0,3904.279846971528,0.8343407440856225,5072,70,0.5425716807203477,0.0
699701014,Existing Customer,43,M,0,Uneducated,Married,Less than $40K,Blue,24,5,3,0,8687.787538364017,2178,6732.979369835263,0.5879682893951218,3860,58,0.8884257973495875,0.23047514568649802
628118713,Existing Customer,43,F,5,Uneducated ,Single,Less than $40K,Blue,36,2,2,2,2140.7549193163304,950,581.1029314411248,0.7924700363107718,4480,81,0.7499032710294516,0.5194406060184662
764054007,Existing Customer,47,F,2,Post-Graduate,Divorced,Unknown,Blue,38,3,5,2,4747.890873096071,1426,2381.794852956693,0.6171110909353328,4662,86,0.8000557876429805,0.3436750760643337
781067212,Attrited Customer,44,M,5,Unknown,Married,$80K - $120K,Silver,40,2,3,3,,2019,33067.41040840168,0.6147885135992566,1933,47,0.3430075975840563,0.10760095283780269
960640528,Existing Customer,61,F,0,High School,Married,Less than $40K,Blue,50,6,0,1,2709.9016486643777,1049,2234.9330147698365,0.6578594949880829,4043,69,0.624434425746885,0.3069079026219088
807580396,Existing Customer,50,M,3,Graduate,Married,$80K - $120K,Blue,40,4,2,4,3497.397255300197,728,2388.7751724175887,0.5223251240186805,14004,119,0.8496630016184709,0.20295714705793863
355781046,Attrited Customer,42,M,4,Unknown,Single,$80K - $120K,Blue,28,1,2,4,5614.200988064166,6,4745.606861424362,0.8799861297395778,2255,36,0.2979863094043284,0.010053156795649052
683692485,Existing Customer,42,F,2,Unknown,Married,Less than $40K,Blue,29,4,1,1,3721.5277781421796,2566,548.9759299185508,0.7852555775969977,4748,86,0.9524421511459453,0.7830976877433624
726594396,Existing Customer,43,F,4,Graduate,Unknown,Less than $40K,Blue,30,3,2,1,2766.2394464998188,2113,715.0240346510761,0.8352918661383749,3973,69,0.774958827045657,0.9085654380183478
882330902,Attrited Customer,50,M,2,College,Single,$80K - $120K,Blue,44,5,3,4,2638.7823807335353,0,2334.8223044024944,0.6376212901729988,1677,41,0.44249284576479,0.024752775887776527
363448673,Attrited Customer,55,F,2,Graduate,Divorced,Less than $40K,Blue,50,2,8,3,880.4991726542125,85,479.33524780098446,0.7291353654316141,2676,33,0.41546219833972003,0.013489630064225657
944884399,Existing Customer,44,F,3,Unknown,Single,Less than $40K,Blue,36,3,5,1,866.2921021534044,81,1805.1822319388461,0.6559997157571715,4523,71,0.8275981868856541,0.0
101341074,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,38,4,1,3,1640.194563874741,2246,-137.69164491519211,0.747070852753394,4285,77,0.8137649265791509,0.9196649192740195
976114246,Existing Customer,54,M,2,High School,Married,$60K - $80K,Blue,35,4,4,3,7081.970775215586,2436,5059.466315664756,1.0085362337894084,1157,20,1.284656667482857,0.31280374861126664
949495420,Attrited Customer,44,F,4,Doctorate,Married,Less than $40K,Blue,27,3,2,2,934.3913322698924,0,1203.5185496467402,0.6823315649866483,2659,36,0.661279109599058,0.0
368561100,Attrited Customer,51,M,2,Graduate,Married,$80K - $120K,Blue,32,3,3,3,12399.808998268349,345,13192.336071793734,0.7708808655466427,2372,62,0.5865558270072055,0.0033837483867966874
225339798,Existing Customer,56,M,3,Graduate,Married,$120K +,Blue,46,2,1,2,5692.656415947411,2128,6388.476120421087,0.7340401272881041,4725,82,0.6637603687916417,0.3102869322127175
382587401,Attrited Customer,39,M,2,Unknown,Single,$60K - $80K,Blue,27,6,2,3,11211.265764580534,0,13021.675010183928,0.4096731927776279,1743,40,0.3378681414859506,0.01782506096932203
902539962,Existing Customer,43,M,3,Graduate,Unknown,Less than $40K,Blue,39,5,2,4,1860.0856654625663,2052,1047.1777960052527,0.5847836090132139,1419,47,0.4109451420045501,0.7360955346078837
696397655,Existing Customer,44,M,1,Uneducated,Married,$120K +,Blue,33,2,2,3,32381.333068516036,1153,33746.16334284993,0.7458235258470887,7121,83,0.610000112943106,0.029290087131401573
626646645,Existing Customer,35,F,2,Unknown,Single,Unknown,Blue,35,2,2,2,2245.6458335013203,8,1397.9532705422241,0.8127729454112451,4599,84,0.7669563395333603,0.017764536732930773
271308690,Existing Customer,34,M,1,College,Married,$60K - $80K,Blue,22,3,2,2,3636.0001358101485,1665,3888.416921047965,0.5584814575380723,1378,52,0.2688660728674014,0.28065939874101864
795949307,Existing Customer,52,F,2,Uneducated,Married,Unknown,Blue,36,5,1,2,3822.3280556451527,2531,1881.390367878272,0.5621341425784573,769,34,0.6135561996789723,0.5928152573210282
527031449,Existing Customer,49,F,2,Unknown,Single,,Blue,44,5,2,3,8998.129019141392,1106,9366.65724093776,0.8978794471126265,14335,116,0.8106982151590096,0.12145034268005969
127311406,Existing Customer,47,M,1,Graduate,Married,$80K - $120K,Blue,37,6,4,3,10991.00068079825,1654,9761.167334186552,0.572878394035152,1756,33,0.23833699113236081,0.15702694576588425
328973450,Existing Customer,34,M,3,Uneducated,Married,$40K - $60K,Blue,36,6,3,5,9305.093516649535,1656,6823.658121659449,0.9362624953348588,1816,40,0.8152128348971727,0.22026458559550727
736268585,Existing Customer,48,F,1,Doctorate,Single,Less than $40K,Blue,41,1,2,3,3834.7686806205684,33,1798.688961645573,0.9461583544236951,4607,61,0.7443042340675393,0.0
436819449,Attrited Customer,50,F,1,High School,Single,Unknown,Blue,39,4,3,2,5362.780780372687,144,5474.577677554698,1.0030947540322641,4187,75,1.096341946197934,0.020115753659427086
647742979,Existing Customer,43,M,3,Graduate,Single,$60K - $80K,Blue,31,3,3,4,19780.935243315587,0,19919.57492722383,1.0339355777349302,3360,72,1.0059208976876237,0.022342646676190677
694450059,Attrited Customer,38,M,2,Unknown,Married,Less than $40K,Blue,25,4,1,3,8876.664979507514,793,7167.172675853568,1.0605878772438397,2069,35,0.640295680592373,0.10647089702662627
938317468,Existing Customer,57,F,4,High School,Single,Unknown,Blue,37,3,6,3,4706.421244685646,913,4174.373143958249,0.651836120830164,5121,88,0.9161880788262426,0.1781490916173414
935145587,Attrited Customer,48,F,5,Graduate,Married,Less than $40K,Blue,37,5,4,1,7096.551615953171,1055,6450.609270742117,0.8092214263995823,4348,77,0.9127601524436493,0.13811961775198872
286472050,Existing Customer,39,M,2,Graduate,Single,$40K - $60K,Blue,27,6,3,2,5922.07454422056,17,7418.892671536667,1.0391466330780763,4728,69,0.82029630234185,0.012019546749191527
647339018,Attrited Customer,45,F,3,Uneducated,Married,Unknown,Blue,37,2,3,1,2960.2566436449765,372,2159.886906443075,0.8543358467579749,2441,40,0.6520452003424544,0.15222968781432436
368346781,Existing Customer,65,F,0,Unknown,Married,Unknown,Blue,55,4,1,4,2432.1806308624123,1548,2105.2966768645124,0.42143263651380086,1734,42,0.40483736391389114,0.6389388459204837
538578293,Existing Customer,52,M,3,Graduate,Married,$80K - $120K,Blue,45,1,3,1,12373.835923916047,1365,9821.351219267484,0.814769915375048,8809,96,0.7729643671221609,0.15433892160466234
767581011,Attrited Customer,41,F,3,Uneducated,Married,$40K - $60K,Blue,35,1,3,5,2796.6845920155547,0,2770.948185748661,0.3525726298777965,1722,40,0.5408722252413314,0.0
363258512,Attrited Customer,46,M,2,Graduate,Single,$80K - $120K,Blue,36,2,2,2,5002.5689598300105,2435,2745.8491635624714,0.6123571455232146,2415,36,0.38636669350148295,0.46537392988335
749948326,Existing Customer,30,M,1,High School,Married,$40K - $60K,Blue,37,3,1,3,1661.6242429321162,14,1949.7242793550681,0.7503667591370005,2447,42,0.545694720253102,0.0
688393795,Existing Customer,51,M,1,Uneducated,Married,$80K - $120K,Blue,41,6,2,2,23821.357938740042,2523,22587.079979827955,0.7176002395226281,2702,57,0.824205931696798,0.11934972885804872
296843881,Existing Customer,47,M,4,Graduate,Married,$80K - $120K,Blue,37,3,2,4,9413.492484838707,1620,9684.233454895932,0.8110737090544987,4117,80,0.7938982756640426,0.14799885760484016
449051733,Existing Customer,52,M,3,College,Married,,Blue,48,5,2,3,300.6469048659577,29,2134.613848642656,0.620257720848075,3908,72,0.6445252652384049,0.0
846898185,Existing Customer,46,M,0,Unknown,Married,$60K - $80K,Gold,35,3,3,2,34611.59940151453,1110,33718.31157049463,0.7313548835936315,1527,41,0.32591463947383575,0.01944996486222665
858407914,Existing Customer,38,F,2,High School,Married,Unknown,Blue,27,6,1,3,8803.888368252457,1951,8582.03595419251,1.1701718603397788,1983,44,1.0772275529188025,0.1942940287655689
691886988,Existing Customer,58,M,4,College,Single,$80K - $120K,Blue,48,6,3,0,25220.11460946569,1121,25355.970614287446,0.4904321810838533,3575,65,0.886512127362066,0.038505377134332316
104249610,Existing Customer,50,M,5,Post-Graduate,Single,$40K - $60K,Silver,36,6,1,2,15420.996797036272,1404,14339.037737450677,0.4568985404019056,3753,79,0.954128494403671,0.10173993344162405
714519016,Existing Customer,57,F,0,Graduate,Married,Less than $40K,Blue,47,5,3,2,1894.0723557628924,855,765.1188921778546,0.44260718578970415,1203,36,0.3173304330613375,0.33683230686978055
838068174,Existing Customer,40,F,5,College,Married,Less than $40K,Blue,35,3,1,3,1788.4296083724432,1685,303.64451453796585,0.5374136438847895,1309,31,0.8568179347563819,0.7149263550805407
922268825,Attrited Customer,44,F,4,Uneducated,Single,Less than $40K,Blue,32,6,3,4,2004.727590116941,79,2758.197573403465,0.8892692874465383,2709,43,0.4396266606538619,0.12466175148967777
485715613,Existing Customer,42,F,3,High School,Married,Unknown,Blue,31,1,1,2,2384.0228404261093,991,294.6035905656788,0.7943734797748968,4969,88,0.7653204891677011,0.5046301541017807
961278235,Existing Customer,32,M,1,Doctorate,Single,$60K - $80K,Blue,28,5,4,3,8955.14726533771,705,8429.611871144589,0.7332625317970641,2075,56,0.6444400778537852,0.05537612489677178
890632165,Existing Customer,41,M,1,Graduate,Single,$80K - $120K,Blue,29,5,1,3,20564.07395692573,1838,19412.56814378596,0.6952830179528066,1315,20,0.5711717798245539,0.05778276606604322
446124943,Existing Customer,45,M,4,College,Married,$40K - $60K,Silver,37,3,3,2,17610.53832916571,1620,17296.062818113165,0.677343278510887,7681,88,0.6756115684535268,0.07424775488962526
192087929,Existing Customer,50,F,1,Graduate,Single,Less than $40K,Blue,37,4,3,4,3906.6564015763797,2464,995.2147149554481,0.6287202688555322,3685,57,0.8541787651245671,0.7538322221402716
634080072,Existing Customer,47,M,4,Graduate,Married,$40K - $60K,Blue,42,5,3,4,13548.945982895153,63,14508.756372759672,0.7083719900760298,2677,77,0.7001245267739706,0.018394113243951238
864791502,Existing Customer,50,F,1,Uneducated,Divorced,Less than $40K,Blue,35,2,3,2,1528.7313147825173,0,921.4344733729305,0.6565524503192193,5244,70,0.9021146495463429,0.0
690753978,Existing Customer,47,M,3,Uneducated,Married,$60K - $80K,Blue,34,2,3,1,12822.79350214936,18,11891.013506602525,0.5185404100815888,4180,80,0.766175598160513,0.0
454534598,Existing Customer,47,M,1,Graduate,Married,$120K +,Blue,41,5,3,3,8899.703552490926,1117,8174.62589380891,0.7374271917110761,4770,80,0.6631342820821056,0.14927385082044525
