iter	Passed	Remaining
0	263	263704
1	368	183984
2	472	156933
3	551	137235
4	621	123649
5	685	113608
6	750	106525
7	819	101669
8	899	99073
9	972	96282
10	1036	93210
11	1101	90686
12	1170	88871
13	1233	86873
14	1302	85560
15	1366	84012
16	1433	82909
17	1549	84513
18	1640	84710
19	1722	84381
20	1795	83709
21	1869	83091
22	1937	82288
23	1999	81308
24	2059	80336
25	2123	79532
26	2173	78317
27	2225	77259
28	2268	75962
29	2312	74756
30	2361	73829
31	2406	72790
32	2456	71969
33	2498	70983
34	2548	70254
35	2596	69529
36	2651	69004
37	2697	68290
38	2741	67556
39	2790	66965
40	2834	66310
41	2881	65718
42	2925	65111
43	2976	64663
44	3024	64187
45	3073	63737
46	3121	63286
47	3172	62917
48	3222	62534
49	3266	62059
50	3311	61620
51	3358	61225
52	3404	60836
53	3458	60587
54	3507	60264
55	3558	59979
56	3609	59714
57	3653	59345
58	3696	58955
59	3739	58589
60	3787	58300
61	3836	58037
62	3886	57810
63	3933	57526
64	3978	57233
65	4029	57027
66	4075	56753
67	4124	56529
68	4168	56242
69	4215	56007
70	4265	55813
71	4313	55590
72	4359	55362
73	4407	55149
74	4455	54948
75	4499	54706
76	4548	54524
77	4595	54319
78	4639	54085
79	4690	53936
80	4733	53699
81	4786	53586
82	4852	53611
83	4932	53787
84	5037	54231
85	5143	54667
86	5244	55040
87	5332	55261
88	5409	55369
89	5515	55767
90	5578	55721
91	5626	55532
92	5671	55314
93	5721	55141
94	5765	54927
95	5812	54737
96	5864	54596
97	5909	54387
98	5956	54210
99	6032	54294
100	6093	54235
101	6147	54121
102	6194	53945
103	6248	53833
104	6293	53642
105	6338	53460
106	6385	53295
107	6442	53209
108	6487	53032
109	6536	52884
110	6582	52722
111	6630	52567
112	6677	52413
113	6720	52233
114	6767	52077
115	6811	51904
116	6861	51784
117	6907	51633
118	6954	51487
119	7001	51344
120	7054	51246
121	7100	51097
122	7148	50970
123	7198	50857
124	7247	50731
125	7299	50633
126	7342	50469
127	7386	50321
128	7437	50218
129	7487	50108
130	7535	49988
131	7580	49846
132	7635	49775
133	7682	49650
134	7733	49549
135	7775	49398
136	7822	49275
137	7870	49161
138	7915	49031
139	7959	48894
140	8004	48764
141	8054	48668
142	8102	48560
143	8155	48478
144	8197	48338
145	8245	48228
146	8289	48101
147	8332	47967
148	8382	47874
149	8426	47748
150	8476	47656
151	8520	47532
152	8571	47451
153	8615	47329
154	8664	47235
155	8712	47138
156	8758	47027
157	8803	46916
158	8847	46796
159	8897	46711
160	8941	46593
161	8994	46527
162	9041	46426
163	9088	46327
164	9135	46233
165	9181	46126
166	9228	46030
167	9273	45925
168	9318	45821
169	9362	45710
170	9410	45623
171	9462	45553
172	9511	45468
173	9556	45364
174	9603	45271
175	9648	45171
176	9697	45089
177	9739	44978
178	9789	44900
179	9836	44811
180	9882	44715
181	9927	44617
182	9979	44552
183	10033	44497
184	10080	44407
185	10139	44372
186	10188	44296
187	10241	44236
188	10300	44198
189	10354	44144
190	10400	44053
191	10450	43978
192	10498	43896
193	10548	43826
194	10590	43718
195	10639	43641
196	10686	43559
197	10736	43489
198	10780	43394
199	10824	43299
200	10872	43218
201	10915	43122
202	10962	43038
203	11006	42948
204	11050	42853
205	11097	42774
206	11149	42714
207	11194	42624
208	11240	42542
209	11284	42452
210	11331	42370
211	11373	42276
212	11420	42198
213	11466	42117
214	11511	42031
215	11567	41987
216	11610	41894
217	11658	41819
218	11702	41731
219	11748	41654
220	11790	41561
221	11835	41479
222	11882	41403
223	11928	41323
224	11987	41290
225	12029	41197
226	12075	41119
227	12121	41044
228	12170	40974
229	12215	40895
230	12258	40808
231	12305	40734
232	12351	40659
233	12398	40586
234	12447	40521
235	12493	40445
236	12545	40388
237	12591	40314
238	12637	40240
239	12680	40154
240	12731	40096
241	12777	40021
242	12826	39955
243	12872	39883
244	12914	39799
245	12964	39735
246	13007	39655
247	13052	39578
248	13094	39494
249	13140	39422
250	13190	39361
251	13236	39289
252	13285	39225
253	13331	39154
254	13378	39085
255	13424	39013
256	13469	38939
257	13517	38876
258	13561	38800
259	13608	38732
260	13654	38661
261	13699	38587
262	13750	38533
263	13796	38463
264	13844	38397
265	13886	38319
266	13936	38259
267	13982	38190
268	14027	38119
269	14074	38053
270	14118	37979
271	14162	37906
272	14207	37834
273	14254	37769
274	14296	37689
275	14344	37629
276	14411	37615
277	14478	37601
278	14547	37594
279	14607	37562
280	14669	37535
281	14739	37526
282	14806	37514
283	14876	37504
284	14938	37476
285	14989	37422
286	15034	37350
287	15082	37287
288	15131	37226
289	15179	37163
290	15229	37106
291	15273	37031
292	15314	36954
293	15371	36912
294	15419	36850
295	15466	36786
296	15517	36728
297	15561	36658
298	15626	36635
299	15688	36607
300	15749	36573
301	15846	36624
302	15904	36586
303	15975	36575
304	16038	36546
305	16102	36520
306	16159	36476
307	16213	36428
308	16292	36433
309	16362	36419
310	16435	36410
311	16501	36388
312	16561	36351
313	16628	36328
314	16705	36328
315	16765	36288
316	16833	36267
317	16903	36251
318	16947	36178
319	16991	36105
320	17037	36038
321	17080	35965
322	17131	35906
323	17174	35832
324	17222	35768
325	17269	35703
326	17315	35637
327	17362	35571
328	17414	35516
329	17461	35452
330	17515	35401
331	17586	35384
332	17650	35354
333	17707	35309
334	17767	35269
335	17833	35241
336	17893	35202
337	17961	35179
338	18026	35149
339	18090	35115
340	18153	35082
341	18208	35032
342	18274	35004
343	18339	34972
344	18404	34941
345	18460	34893
346	18526	34864
347	18589	34828
348	18659	34805
349	18718	34763
350	18865	34882
351	18970	34922
352	19035	34889
353	19096	34849
354	19137	34771
355	19184	34705
356	19238	34651
357	19283	34581
358	19334	34522
359	19388	34467
360	19437	34405
361	19487	34345
362	19537	34284
363	19589	34228
364	19666	34214
365	19720	34160
366	19768	34097
367	19826	34049
368	19899	34029
369	19978	34017
370	20064	34018
371	20139	33999
372	20196	33949
373	20251	33897
374	20296	33827
375	20368	33802
376	20421	33746
377	20508	33746
378	20585	33729
379	20651	33694
380	20727	33675
381	20801	33652
382	20889	33652
383	20955	33616
384	21031	33596
385	21105	33571
386	21171	33534
387	21218	33468
388	21277	33420
389	21341	33380
390	21406	33341
391	21457	33281
392	21523	33243
393	21589	33206
394	21657	33171
395	21737	33155
396	21806	33122
397	21872	33082
398	21926	33027
399	21975	32963
400	22024	32899
401	22070	32831
402	22124	32774
403	22175	32713
404	22222	32647
405	22267	32578
406	22324	32526
407	22386	32482
408	22445	32433
409	22511	32394
410	22586	32369
411	22642	32315
412	22697	32260
413	22754	32208
414	22815	32160
415	22867	32102
416	22926	32052
417	22972	31985
418	23021	31922
419	23075	31866
420	23124	31803
421	23167	31731
422	23213	31664
423	23262	31601
424	23318	31549
425	23374	31495
426	23424	31433
427	23465	31360
428	23513	31295
429	23564	31237
430	23615	31177
431	23668	31119
432	23729	31073
433	23786	31021
434	23856	30985
435	23903	30920
436	23947	30851
437	23992	30784
438	24034	30714
439	24073	30639
440	24117	30571
441	24159	30500
442	24200	30428
443	24244	30359
444	24301	30308
445	24374	30276
446	24442	30239
447	24500	30188
448	24602	30191
449	24677	30161
450	24760	30140
451	24822	30094
452	24887	30051
453	24953	30009
454	25031	29982
455	25093	29935
456	25181	29920
457	25255	29887
458	25318	29841
459	25375	29789
460	25430	29733
461	25493	29687
462	25552	29636
463	25637	29615
464	25699	29568
465	25767	29527
466	25841	29493
467	25897	29439
468	25957	29388
469	26021	29343
470	26106	29321
471	26172	29278
472	26234	29229
473	26302	29187
474	26360	29135
475	26430	29095
476	26517	29074
477	26575	29021
478	26635	28970
479	26685	28909
480	26747	28860
481	26817	28820
482	26874	28766
483	26955	28737
484	27024	28695
485	27088	28649
486	27155	28605
487	27215	28554
488	27279	28507
489	27334	28450
490	27415	28420
491	27479	28373
492	27541	28323
493	27604	28275
494	27671	28230
495	27729	28176
496	27803	28138
497	27861	28084
498	27928	28040
499	27999	27999
500	28074	27962
501	28149	27925
502	28240	27903
503	28306	27857
504	28390	27828
505	28499	27823
506	28651	27859
507	28740	27835
508	28802	27783
509	28863	27731
510	28923	27678
511	28981	27623
512	29041	27569
513	29108	27522
514	29192	27491
515	29260	27445
516	29329	27400
517	29395	27352
518	29459	27302
519	29794	27502
520	29855	27448
521	29954	27429
522	30023	27382
523	30109	27351
524	30175	27301
525	30235	27246
526	30289	27185
527	30342	27124
528	30397	27064
529	30452	27005
530	30510	26948
531	30552	26876
532	30593	26805
533	30638	26737
534	30683	26669
535	30730	26602
536	30771	26531
537	30816	26463
538	30866	26399
539	30924	26343
540	30975	26280
541	31029	26220
542	31083	26160
543	31130	26094
544	31179	26030
545	31228	25966
546	31277	25902
547	31327	25839
548	31385	25783
549	31444	25727
550	31502	25670
551	31554	25609
552	31611	25552
553	31668	25494
554	31731	25442
555	31782	25380
556	31839	25323
557	31887	25258
558	31935	25194
559	31983	25129
560	32031	25065
561	32077	24999
562	32123	24933
563	32169	24868
564	32210	24799
565	32255	24733
566	32303	24668
567	32352	24606
568	32405	24545
569	32452	24481
570	32496	24414
571	32538	24346
572	32585	24282
573	32631	24218
574	32677	24152
575	32724	24088
576	32778	24029
577	32830	23969
578	32884	23910
579	32936	23850
580	33003	23800
581	33052	23738
582	33106	23679
583	33166	23625
584	33219	23566
585	33267	23503
586	33321	23443
587	33370	23381
588	33424	23323
589	33480	23266
590	33533	23207
591	33581	23144
592	33719	23143
593	33810	23109
594	33863	23050
595	33915	22989
596	33967	22929
597	34015	22866
598	34063	22804
599	34115	22743
600	34168	22684
601	34232	22632
602	34282	22570
603	34331	22508
604	34381	22447
605	34434	22388
606	34484	22326
607	34536	22266
608	34587	22206
609	34645	22150
610	34692	22087
611	34739	22024
612	34784	21959
613	34834	21899
614	34885	21838
615	34941	21781
616	34996	21723
617	35062	21673
618	35119	21616
619	35177	21560
620	35226	21498
621	35279	21439
622	35329	21379
623	35380	21318
624	35427	21256
625	35484	21200
626	35540	21142
627	35596	21085
628	35646	21025
629	35697	20965
630	35754	20908
631	35807	20849
632	35863	20792
633	35934	20744
634	35985	20684
635	36049	20632
636	36098	20571
637	36173	20524
638	36231	20468
639	36290	20413
640	36347	20356
641	36391	20292
642	36432	20227
643	36473	20162
644	36513	20096
645	36555	20032
646	36597	19967
647	36640	19903
648	36689	19842
649	36773	19800
650	36839	19749
651	36904	19697
652	36970	19646
653	37030	19591
654	37086	19534
655	37152	19482
656	37215	19428
657	37277	19375
658	37362	19333
659	37435	19284
660	37502	19233
661	37570	19182
662	37641	19133
663	37721	19087
664	37804	19044
665	37875	18994
666	37936	18939
667	37992	18882
668	38071	18836
669	38141	18786
670	38230	18744
671	38301	18694
672	38368	18642
673	38429	18587
674	38491	18532
675	38556	18479
676	38630	18430
677	38689	18374
678	38763	18325
679	38825	18270
680	38921	18231
681	39000	18184
682	39064	18130
683	39159	18091
684	39228	18039
685	39294	17986
686	39344	17925
687	39416	17874
688	39462	17812
689	39510	17750
690	39572	17695
691	39620	17634
692	39665	17571
693	39714	17510
694	39758	17447
695	39808	17387
696	39871	17332
697	39993	17303
698	40065	17252
699	40129	17198
700	40194	17144
701	40277	17097
702	40346	17045
703	40437	17002
704	40533	16960
705	40617	16914
706	40709	16871
707	40781	16819
708	40875	16776
709	40955	16728
710	41024	16675
711	41076	16615
712	41122	16552
713	41163	16488
714	41204	16424
715	41251	16362
716	41300	16301
717	41346	16239
718	41389	16175
719	41437	16114
720	41482	16052
721	41525	15989
722	41586	15932
723	41676	15887
724	41784	15849
725	41871	15802
726	41947	15752
727	42007	15695
728	42054	15633
729	42101	15571
730	42143	15508
731	42193	15448
732	42243	15387
733	42291	15326
734	42358	15271
735	42436	15221
736	42495	15164
737	42589	15119
738	42721	15088
739	42810	15041
740	42899	14994
741	42954	14935
742	43028	14883
743	43117	14836
744	43185	14781
745	43262	14729
746	43331	14675
747	43401	14621
748	43479	14570
749	43573	14524
750	43666	14477
751	43716	14417
752	43765	14355
753	43827	14299
754	43898	14245
755	43968	14190
756	44013	14128
757	44060	14066
758	44104	14004
759	44155	13943
760	44203	13882
761	44254	13822
762	44307	13762
763	44412	13719
764	44527	13678
765	44622	13631
766	44715	13583
767	44801	13533
768	44870	13478
769	44929	13420
770	44975	13358
771	45015	13294
772	45060	13232
773	45104	13169
774	45146	13107
775	45188	13044
776	45232	12981
777	45276	12919
778	45321	12857
779	45363	12794
780	45408	12733
781	45450	12670
782	45500	12610
783	45545	12548
784	45587	12485
785	45629	12423
786	45675	12362
787	45720	12300
788	45761	12237
789	45834	12183
790	45957	12142
791	46010	12083
792	46077	12027
793	46185	11982
794	46294	11937
795	46361	11881
796	46403	11819
797	46438	11755
798	46477	11692
799	46517	11629
800	46562	11568
801	46608	11506
802	46651	11444
803	46695	11383
804	46739	11322
805	46788	11261
806	46833	11200
807	46879	11139
808	46923	11078
809	46962	11015
810	47008	10955
811	47055	10894
812	47103	10834
813	47146	10772
814	47187	10711
815	47229	10649
816	47269	10587
817	47313	10527
818	47359	10466
819	47401	10405
820	47438	10342
821	47481	10281
822	47523	10220
823	47566	10159
824	47610	10099
825	47647	10037
826	47689	9976
827	47731	9915
828	47773	9854
829	47818	9794
830	47876	9736
831	47923	9676
832	47968	9616
833	48013	9556
834	48067	9498
835	48114	9438
836	48160	9378
837	48201	9318
838	48244	9257
839	48286	9197
840	48335	9138
841	48379	9078
842	48421	9018
843	48464	8957
844	48502	8896
845	48545	8836
846	48587	8776
847	48628	8716
848	48669	8656
849	48711	8596
850	48755	8536
851	48804	8477
852	48845	8417
853	48894	8358
854	48943	8300
855	49009	8244
856	49053	8185
857	49093	8124
858	49140	8066
859	49179	8005
860	49219	7945
861	49260	7886
862	49301	7826
863	49347	7767
864	49386	7707
865	49426	7648
866	49469	7588
867	49512	7529
868	49551	7469
869	49592	7410
870	49632	7350
871	49674	7291
872	49712	7232
873	49755	7172
874	49804	7114
875	49843	7055
876	49883	6996
877	49924	6937
878	49966	6878
879	50006	6819
880	50046	6759
881	50087	6701
882	50126	6641
883	50170	6583
884	50219	6525
885	50260	6466
886	50301	6408
887	50341	6349
888	50382	6290
889	50422	6232
890	50462	6173
891	50505	6114
892	50545	6056
893	50590	5998
894	50632	5940
895	50673	5881
896	50711	5823
897	50751	5764
898	50794	5706
899	50835	5648
900	50878	5590
901	50918	5532
902	50960	5474
903	51004	5416
904	51043	5358
905	51085	5300
906	51133	5243
907	51177	5185
908	51218	5127
909	51255	5069
910	51296	5011
911	51336	4953
912	51376	4895
913	51416	4837
914	51455	4780
915	51499	4722
916	51538	4664
917	51579	4607
918	51622	4550
919	51662	4492
920	51702	4434
921	51744	4377
922	51785	4320
923	51830	4263
924	51869	4205
925	51907	4148
926	51949	4090
927	51990	4033
928	52034	3976
929	52075	3919
930	52113	3862
931	52154	3805
932	52194	3748
933	52234	3691
934	52277	3634
935	52318	3577
936	52359	3520
937	52403	3463
938	52443	3406
939	52480	3349
940	52520	3293
941	52560	3236
942	52617	3180
943	52663	3124
944	52706	3067
945	52750	3011
946	52791	2954
947	52835	2898
948	52875	2841
949	52913	2784
950	52954	2728
951	52996	2672
952	53037	2615
953	53079	2559
954	53119	2502
955	53157	2446
956	53198	2390
957	53231	2333
958	53271	2277
959	53312	2221
960	53352	2165
961	53397	2109
962	53436	2053
963	53479	1997
964	53524	1941
965	53562	1885
966	53605	1829
967	53648	1773
968	53690	1717
969	53733	1661
970	53772	1605
971	53814	1550
972	53852	1494
973	53892	1438
974	53942	1383
975	53980	1327
976	54029	1271
977	54068	1216
978	54108	1160
979	54150	1105
980	54189	1049
981	54233	994
982	54271	938
983	54309	883
984	54354	827
985	54396	772
986	54431	716
987	54473	661
988	54514	606
989	54556	551
990	54596	495
991	54639	440
992	54681	385
993	54718	330
994	54761	275
995	54804	220
996	54845	165
997	54889	109
998	54932	54
999	54974	0
